Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend,Rolling Mean,Bollinger High,Bollinger Low
2020-01-09,497.100006,498.799988,472.869995,481.339996,481.339996,28440400,1,2020,0.0,Slight or No Change,,,
2020-01-08,473.700012,498.48999,468.2300110000001,492.14001500000006,492.14001500000006,31144300,1,2020,2.24374020229976,Positive,,,
2020-01-07,461.39999400000005,471.630005,453.359985,469.05999800000006,469.05999800000006,17882100,1,2020,-4.689725748067851,Among Top Losers,,,
2020-01-06,440.470001,451.55999800000006,440.0,451.540009,451.540009,10133000,1,2020,-3.735127504946623,Among Top Losers,,,
2020-01-03,440.5,454.0,436.920013,443.01001,443.01001,17778500,1,2020,-1.8890904083762041,Negative,,,
2020-01-02,424.5,430.700012,421.709991,430.26001,430.26001,9532100,1,2020,-2.8780388054888477,Negative,,,
2019-12-31,405.0,421.290009,402.079987,418.329987,418.329987,10285700,12,2019,-2.7727473441001242,Negative,,,
2019-12-30,428.790009,429.0,409.26001,414.700012,414.700012,12586400,12,2019,-0.8677300487186956,Slight Negative,,,
2019-12-27,435.0,435.30999800000006,426.109985,430.380005,430.380005,9945700,12,2019,3.781044742289508,Among Top Gainers,,,
2019-12-26,427.910004,433.4800110000001,426.350006,430.940002,430.940002,10633900,12,2019,0.13011687194899313,Slight or No Change,,,
2019-12-24,418.359985,425.470001,412.690002,425.25,425.25,8054700,12,2019,-1.320369882951811,Negative,,,
2019-12-23,411.779999,422.01001,410.0,419.220001,419.220001,13319600,12,2019,-1.4179891828336344,Negative,,,
2019-12-20,410.290009,413.0,400.190002,405.589996,405.589996,14752700,12,2019,-3.2512773645072324,Among Top Losers,,,
2019-12-19,397.320007,406.850006,396.5,404.040009,404.040009,18107100,12,2019,-0.3821561220163749,Slight or No Change,436.8428607142858,491.7006090682277,381.98511236034386
2019-12-18,380.630005,395.220001,380.579987,393.149994,393.149994,14121000,12,2019,-2.6952813477439608,Negative,430.54357485714297,483.61536461910026,377.4717850951857
2019-12-17,378.98999,385.5,375.899994,378.98999,378.98999,8496800,12,2019,-3.601679820959125,Among Top Losers,422.4614302142858,469.2116803253524,375.71118010321925
2019-12-16,362.549988,383.609985,362.5,381.5,381.5,18174200,12,2019,0.6622892599353447,Slight Positive,416.20714464285726,459.395252482856,373.0190368028585
2019-12-13,361.049988,365.209991,354.640015,358.390015,358.390015,6570900,12,2019,-6.057663171690698,Among Top Losers,409.55357364285726,457.7089957956773,361.3981514900372
2019-12-12,354.920013,362.73999,353.230011,359.679993,359.679993,7763900,12,2019,0.3599369251400697,Slight or No Change,403.60142957142864,454.4666174994271,352.73624164343016
2019-12-11,351.880005,357.190002,351.089996,352.700012,352.700012,6897800,12,2019,-1.9406086342978799,Negative,398.0614297142858,453.13958645419285,342.98327297437874
2019-12-10,339.959991,350.730011,339.309998,348.839996,348.839996,8828300,12,2019,-1.0944190157838762,Negative,393.0978589285715,452.65062162437096,333.54509623277204
2019-12-09,336.589996,344.450012,335.079987,339.5299990000001,339.5299990000001,9023100,12,2019,-2.668844486513511,Negative,387.7285722857144,452.2397061453787,323.2174384260501
2019-12-06,335.0,338.859985,334.769989,335.890015,335.890015,7612400,12,2019,-1.0720655054695216,Negative,380.97928728571435,446.03744401495123,315.92113055647746
2019-12-05,332.829987,334.420013,327.25,330.369995,330.369995,3724600,12,2019,-1.6434010400696142,Negative,373.7957153571429,437.2806809474947,310.3107497667911
2019-12-04,337.75,337.859985,332.850006,333.0299990000001,333.0299990000001,5533000,12,2019,0.8051590762653937,Slight Positive,367.20857242857153,426.70761360137425,307.7095312557688
2019-12-03,332.619995,337.910004,332.190002,336.200012,336.200012,6573700,12,2019,0.9518701046508315,Slight Positive,361.2785732142858,414.68406219994336,307.8730842286283
2019-12-02,329.399994,336.380005,328.690002,334.869995,334.869995,6074500,12,2019,-0.3956029008113204,Slight or No Change,356.2271445714287,404.7313841963468,307.7229049465106
2019-11-29,331.109985,331.26001,327.5,329.940002,329.940002,2465600,11,2019,-1.4722110292383794,Negative,350.93428692857157,392.66194671471794,309.2066271424252
2019-11-27,331.119995,333.929993,328.570007,331.290009,331.290009,5555600,11,2019,0.4091674218999364,Slight or No Change,346.5157165714287,381.5510447077858,311.4803884350716
2019-11-26,335.269989,335.5,327.100006,328.920013,328.920013,7947400,11,2019,-0.7153840851264581,Slight Negative,342.93928964285726,373.65009927913707,312.22848000657746
