Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend
2020-01-09,497.10000599999995,498.799988,472.869995,481.339996,481.339996,28440400,1,2020,0.0,Slight or No Change
2020-01-08,473.700012,498.48999000000003,468.23001100000005,492.14001500000006,492.14001500000006,31144300,1,2020,2.24374020229976,Positive
2020-01-07,461.39999400000005,471.630005,453.35998499999994,469.05999800000006,469.05999800000006,17882100,1,2020,-4.689725748067852,Among Top Losers
2020-01-06,440.47000099999997,451.55999800000006,440.0,451.540009,451.540009,10133000,1,2020,-3.7351275049466226,Among Top Losers
2020-01-03,440.5,454.0,436.920013,443.01000999999997,443.01000999999997,17778500,1,2020,-1.889090408376204,Negative
2020-01-02,424.5,430.700012,421.709991,430.26000999999997,430.26000999999997,9532100,1,2020,-2.8780388054888473,Negative
2019-12-31,405.0,421.290009,402.079987,418.329987,418.329987,10285700,12,2019,-2.772747344100124,Negative
2019-12-30,428.790009,429.0,409.26001,414.700012,414.700012,12586400,12,2019,-0.8677300487186956,Slight Negative
2019-12-27,435.0,435.30999800000006,426.10998499999994,430.380005,430.380005,9945700,12,2019,3.7810447422895077,Among Top Gainers
2019-12-26,427.910004,433.48001100000005,426.35000599999995,430.94000199999994,430.94000199999994,10633900,12,2019,0.13011687194899313,Slight or No Change
2019-12-24,418.359985,425.47000099999997,412.690002,425.25,425.25,8054700,12,2019,-1.3203698829518107,Negative
2019-12-23,411.77999900000003,422.01000999999997,410.0,419.22000099999997,419.22000099999997,13319600,12,2019,-1.4179891828336344,Negative
2019-12-20,410.290009,413.0,400.190002,405.589996,405.589996,14752700,12,2019,-3.2512773645072324,Among Top Losers
2019-12-19,397.320007,406.850006,396.5,404.040009,404.040009,18107100,12,2019,-0.38215612201637494,Slight or No Change
2019-12-18,380.630005,395.22000099999997,380.579987,393.149994,393.149994,14121000,12,2019,-2.6952813477439608,Negative
2019-12-17,378.98999,385.5,375.899994,378.98999,378.98999,8496800,12,2019,-3.601679820959125,Among Top Losers
2019-12-16,362.549988,383.609985,362.5,381.5,381.5,18174200,12,2019,0.6622892599353447,Slight Positive
2019-12-13,361.049988,365.209991,354.640015,358.390015,358.390015,6570900,12,2019,-6.057663171690697,Among Top Losers
2019-12-12,354.920013,362.73999,353.230011,359.679993,359.679993,7763900,12,2019,0.3599369251400697,Slight or No Change
2019-12-11,351.880005,357.190002,351.089996,352.700012,352.700012,6897800,12,2019,-1.94060863429788,Negative
2019-12-10,339.959991,350.730011,339.309998,348.839996,348.839996,8828300,12,2019,-1.0944190157838762,Negative
2019-12-09,336.589996,344.450012,335.079987,339.52999900000003,339.52999900000003,9023100,12,2019,-2.668844486513511,Negative
2019-12-06,335.0,338.859985,334.769989,335.890015,335.890015,7612400,12,2019,-1.0720655054695216,Negative
2019-12-05,332.829987,334.420013,327.25,330.369995,330.369995,3724600,12,2019,-1.6434010400696142,Negative
2019-12-04,337.75,337.859985,332.850006,333.02999900000003,333.02999900000003,5533000,12,2019,0.8051590762653937,Slight Positive
2019-12-03,332.619995,337.910004,332.190002,336.200012,336.200012,6573700,12,2019,0.9518701046508315,Slight Positive
2019-12-02,329.399994,336.380005,328.690002,334.869995,334.869995,6074500,12,2019,-0.39560290081132043,Slight or No Change
2019-11-29,331.109985,331.26001,327.5,329.940002,329.940002,2465600,11,2019,-1.4722110292383794,Negative
2019-11-27,331.119995,333.929993,328.570007,331.290009,331.290009,5555600,11,2019,0.4091674218999364,Slight or No Change
2019-11-26,335.269989,335.5,327.100006,328.920013,328.920013,7947400,11,2019,-0.7153840851264581,Slight Negative
2019-11-25,344.320007,344.570007,334.459991,336.339996,336.339996,12339500,11,2019,2.25586243060254,Positive
2019-11-22,340.160004,341.0,330.0,333.040009,333.040009,16870600,11,2019,-0.9811461732906701,Slight Negative
2019-11-21,354.51001,360.839996,354.0,354.829987,354.829987,6110000,11,2019,6.54275084408853,Among Top Gainers
2019-11-20,360.0,361.200012,349.570007,352.22000099999997,352.22000099999997,6725100,11,2019,-0.7355595906836543,Slight Negative
2019-11-19,351.75,359.98999,347.799988,359.519989,359.519989,7724800,11,2019,2.072564868342064,Positive
2019-11-18,352.920013,353.149994,346.100006,349.98999,349.98999,4400400,11,2019,-2.6507563672628076,Negative
2019-11-15,350.640015,352.799988,348.359985,352.170013,352.170013,4809000,11,2019,0.6228815286974276,Slight Positive
2019-11-14,346.109985,353.839996,342.910004,349.350006,349.350006,6464900,11,2019,-0.8007515960763989,Slight Negative
2019-11-13,355.0,356.329987,345.179993,346.109985,346.109985,8420100,11,2019,-0.9274426633328892,Slight Negative
2019-11-12,346.899994,350.369995,344.040009,349.929993,349.929993,7359400,11,2019,1.1036977162042882,Positive
2019-11-11,343.950012,349.190002,342.0,345.089996,345.089996,9986700,11,2019,-1.3831329399649483,Negative
2019-11-08,334.5,337.459991,332.5,337.140015,337.140015,6069200,11,2019,-2.303741369541168,Negative
2019-11-07,329.140015,341.5,328.019989,335.540009,335.540009,14467300,11,2019,-0.4745820516143695,Slight or No Change
2019-11-06,318.0,326.72000099999997,314.5,326.579987,326.579987,7940900,11,2019,-2.6703289502504557,Negative
2019-11-05,319.619995,323.51001,316.119995,317.22000099999997,317.22000099999997,6943400,11,2019,-2.866062334677,Negative
2019-11-04,314.799988,321.940002,309.26001,317.47000099999997,317.47000099999997,8787000,11,2019,0.0788096586633591,Slight or No Change
2019-11-01,316.320007,316.480011,309.799988,313.309998,313.309998,6383900,11,2019,-1.3103609748626122,Negative
2019-10-31,313.100006,319.0,313.0,314.920013,314.920013,5067000,10,2019,0.513872844874852,Slight Positive
2019-10-30,313.0,318.790009,309.97000099999997,315.01001,315.01001,9641800,10,2019,0.028577732848011905,Slight or No Change
2019-10-29,319.98999,324.299988,314.75,316.22000099999997,316.22000099999997,12684300,10,2019,0.38411192076084344,Slight or No Change
2019-10-28,327.540009,340.839996,322.600006,327.709991,327.709991,18870300,10,2019,3.6335430914125055,Among Top Gainers
2019-10-25,297.72000099999997,330.0,296.109985,328.130005,328.130005,30006100,10,2019,0.12816637012449394,Slight or No Change
2019-10-24,298.369995,304.929993,289.200012,299.679993,299.679993,29720900,10,2019,-8.670347595917038,Bear Drop
2019-10-23,254.5,256.140015,251.350006,254.67999300000002,254.67999300000002,5261100,10,2019,-15.016017435638418,Bear Drop
2019-10-22,254.32000699999998,258.329987,250.850006,255.580002,255.580002,4600800,10,2019,0.3533881831071062,Slight or No Change
2019-10-21,258.329987,259.5,250.17999300000002,253.5,253.5,5020300,10,2019,-0.8138359745376356,Slight Negative
2019-10-18,260.700012,262.799988,255.100006,256.950012,256.950012,5749800,10,2019,1.3609514792899402,Positive
2019-10-17,262.5,264.77999900000003,260.170013,261.97000099999997,261.97000099999997,4769300,10,2019,1.9536831156092616,Positive
2019-10-16,257.390015,262.100006,256.920013,259.75,259.75,6684100,10,2019,-0.8474256561918247,Slight Negative
2019-10-15,257.700012,260.0,254.11999500000002,257.890015,257.890015,6432800,10,2019,-0.7160673724735278,Slight Negative
2019-10-14,247.899994,258.549988,247.13000499999998,256.959991,256.959991,10205000,10,2019,-0.36062815382751356,Slight or No Change
2019-10-11,247.149994,251.080002,246.809998,247.88999900000002,247.88999900000002,8475400,10,2019,-3.5297292643507228,Among Top Losers
2019-10-10,245.27999900000003,249.27999900000003,241.580002,244.74000499999997,244.74000499999997,6283300,10,2019,-1.2707225030083036,Negative
2019-10-09,241.32000699999998,247.30000299999998,240.649994,244.52999900000003,244.52999900000003,6894400,10,2019,-0.0858077942753721,Slight or No Change
2019-10-08,235.86999500000002,243.940002,234.5,240.05000299999998,240.05000299999998,8678200,10,2019,-1.8320844143135395,Negative
2019-10-07,229.80000299999998,238.559998,228.55000299999998,237.72000099999997,237.72000099999997,8064200,10,2019,-0.9706319395463625,Slight Negative
2019-10-04,231.61000099999998,234.77999900000003,228.07000699999998,231.42999300000002,231.42999300000002,7995000,10,2019,-2.64597340296997,Negative
2019-10-03,231.86000099999998,234.479996,224.27999900000003,233.02999900000003,233.02999900000003,15084500,10,2019,0.691356370563434,Slight Positive
2019-10-02,243.289993,244.649994,239.42999300000002,243.13000499999998,243.13000499999998,5631400,10,2019,4.334208489611657,Among Top Gainers
2019-10-01,241.5,245.94999700000002,239.13000499999998,244.690002,244.690002,6162600,10,2019,0.6416308015952277,Slight Positive
2019-09-30,243.0,243.979996,236.11000099999998,240.86999500000002,240.86999500000002,5879800,9,2019,-1.5611618655346549,Negative
2019-09-27,242.19999700000002,248.710007,238.729996,242.13000499999998,242.13000499999998,11116400,9,2019,0.5231079113859671,Slight Positive
2019-09-26,230.66000400000001,243.309998,227.399994,242.559998,242.559998,11884500,9,2019,0.17758765585456082,Slight or No Change
2019-09-25,224.559998,228.979996,218.36000099999998,228.69999700000002,228.69999700000002,9427100,9,2019,-5.714050591309771,Among Top Losers
2019-09-24,241.520004,241.99000499999997,222.61000099999998,223.210007,223.210007,12891500,9,2019,-2.4005203638022055,Negative
2019-09-23,240.0,245.17999300000002,239.22000099999997,241.229996,241.229996,4340200,9,2019,8.073109822535883,Bull Run
2019-09-20,246.49000499999997,246.94999700000002,238.16000400000001,240.61999500000002,240.61999500000002,6353000,9,2019,-0.2528711230422531,Slight or No Change
2019-09-19,246.0,247.940002,244.83999599999999,246.600006,246.600006,4795800,9,2019,2.4852510698456287,Positive
2019-09-18,245.0,248.169998,242.36999500000002,243.49000499999997,243.49000499999997,4170200,9,2019,-1.2611520374415708,Negative
2019-09-17,242.47000099999997,245.600006,240.36999500000002,244.789993,244.789993,3865400,9,2019,0.5338978903877578,Slight Positive
2019-09-16,246.0,247.42999300000002,241.169998,242.809998,242.809998,4728100,9,2019,-0.8088545515012147,Slight Negative
2019-09-13,246.960007,248.44999700000002,244.86999500000002,245.19999700000002,245.19999700000002,5313100,9,2019,0.9843083150142817,Slight Positive
2019-09-12,247.69999700000002,253.5,244.399994,245.86999500000002,245.86999500000002,8581200,9,2019,0.27324551720935286,Slight or No Change
2019-09-11,237.38000499999998,248.169998,236.0,247.100006,247.100006,10042800,9,2019,0.5002688514310183,Slight Positive
2019-09-10,230.80000299999998,235.539993,228.940002,235.539993,235.539993,4883700,9,2019,-4.67827305516132,Among Top Losers
2019-09-09,230.0,233.75999500000003,229.229996,231.789993,231.789993,4802700,9,2019,-1.5920863171631328,Negative
2019-09-06,227.19999700000002,229.63999900000002,225.169998,227.44999700000002,227.44999700000002,4189400,9,2019,-1.8723828168026202,Negative
2019-09-05,222.5,229.80000299999998,220.850006,229.580002,229.580002,7395300,9,2019,0.936471764385205,Slight Positive
2019-09-04,226.88999900000002,228.460007,219.210007,220.67999300000002,220.67999300000002,5761000,9,2019,-3.8766481934258246,Among Top Losers
2019-09-03,224.080002,228.94999700000002,223.16000400000001,225.00999500000003,225.00999500000003,5354100,9,2019,1.962118061151119,Positive
2019-08-30,229.149994,232.440002,224.210007,225.61000099999998,225.61000099999998,9320600,8,2019,0.2666574878151362,Slight or No Change
2019-08-29,219.0,223.399994,218.0,221.710007,221.710007,5179500,8,2019,-1.7286441127226437,Negative
2019-08-28,213.690002,217.25,212.309998,215.58999599999999,215.58999599999999,3225500,8,2019,-2.760367510159345,Negative
2019-08-27,215.74000499999997,218.80000299999998,212.02999900000003,214.080002,214.080002,5416200,8,2019,-0.7004007736982287,Slight Negative
2019-08-26,213.600006,215.020004,211.539993,215.0,215.0,5051900,8,2019,0.4297449511421414,Slight or No Change
2019-08-23,219.97000099999997,221.169998,211.0,211.399994,211.399994,8538600,8,2019,-1.6744213953488463,Negative
2019-08-22,222.80000299999998,225.399994,218.22000099999997,222.149994,222.149994,6559000,8,2019,5.085146785765748,Among Top Gainers
2019-08-21,222.00999500000003,223.22000099999997,217.600006,220.830002,220.830002,7794300,8,2019,-0.5941895276395881,Slight Negative
2019-08-20,227.61999500000002,229.08999599999999,224.539993,225.86000099999998,225.86000099999998,4125200,8,2019,2.2777697570278477,Positive
2019-08-19,224.210007,227.830002,221.69999700000002,226.830002,226.830002,5309600,8,2019,0.4294700237781557,Slight or No Change
2019-08-16,216.66000400000001,222.24000499999997,216.020004,219.940002,219.940002,5098500,8,2019,-3.0375170564959086,Among Top Losers
2019-08-15,220.86000099999998,221.559998,211.55000299999998,215.63999900000002,215.63999900000002,8159600,8,2019,-1.9550800040458172,Negative
2019-08-14,231.210007,231.5,216.690002,219.61999500000002,219.61999500000002,9562600,8,2019,1.84566686072003,Positive
2019-08-13,228.809998,236.0,227.55000299999998,235.0,235.0,4848100,8,2019,7.003007626878399,Bull Run
2019-08-12,232.99000499999997,235.770004,228.75,229.00999500000003,229.00999500000003,4663900,8,2019,-2.5489382978723274,Negative
2019-08-09,236.05000299999998,238.960007,233.809998,235.00999500000003,235.00999500000003,3898200,8,2019,2.6199729841485775,Positive
2019-08-08,234.44999700000002,239.80000299999998,232.649994,238.30000299999998,238.30000299999998,5274300,8,2019,1.399943861962094,Positive
2019-08-07,226.5,233.57000699999998,225.80000299999998,233.419998,233.419998,4776500,8,2019,-2.047840930996536,Negative
2019-08-06,231.88000499999998,232.5,225.75,230.75,230.75,5564200,8,2019,-1.1438600046599245,Negative
2019-08-05,229.600006,231.36999500000002,225.77999900000003,228.32000699999998,228.32000699999998,7028300,8,2019,-1.0530847237269825,Negative
2019-08-02,231.350006,236.270004,229.229996,234.33999599999999,234.33999599999999,6136500,8,2019,2.636645416711114,Positive
2019-08-01,242.649994,244.50999500000003,231.770004,233.850006,233.850006,8259500,8,2019,-0.20909362821700528,Slight or No Change
